"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"Radford University-Carilion - Virginia",,22,21,25,,,,23,25,21,22,23,21,21
"Morehouse College - Georgia",,25,25,23,24,23,24,23,24,25,25,24,24,24
"Morehead State University - Kentucky",,26,26,26,26,25,25,25,25,24,24,24,24,22
"Moore College of Art and Design - Pennsylvania",,28,31,,,,,29,22,26,25,25,24,23
"Moody Bible Institute - Illinois",,23,,,,,,,27,26,28,,,
"Montana Bible College - Montana",,21,,,,27,24,22,26,,,,,
"Misericordia University - Pennsylvania",,27,26,26,26,27,26,26,26,25,25,26,24,25
"Minneapolis College of Art and Design - Minnesota",,25,26,26,26,27,26,26,26,27,26,27,25,28
"Midwestern Baptist Theological Seminary - Missouri",,24,26,25,25,24,22,25,22,24,25,28,,
"Middle Georgia State University - Georgia",,21,20,23,,19,,,,,,,,
"Methodist College - Illinois",,24,22,24,23,24,22,23,23,22,,,,
"McPherson College - Kansas",,23,23,24,24,24,25,24,24,24,24,24,24,24
"Maryville University of Saint Louis - Missouri",,25,26,27,27,27,27,27,27,27,27,26,26,27
"Maryland Institute College of Art - Maryland",,29,29,29,28,,,,,,,,,
"Mars Hill University - North Carolina",,23,22,22,22,22,22,23,22,22,,,22,
"Marian University - Indiana",,25,26,25,25,26,26,25,25,25,23,24,25,25
"Manor College - Pennsylvania",,19,16,19,,15,17,18,16,19,22,,,
"Manhattan College - New York",,28,27,28,28,27,27,27,,,25,26,26,26
"Morningside University - Iowa",,25,25,25,26,26,25,25,25,26,25,25,25,25
"Reed College - Oregon",,34,33,33,33,33,33,33,32,33,33,32,32,32
"Mount Mercy University - Iowa",,24,25,24,24,23,25,23,24,22,24,24,24,24
"Nebraska Christian College of Hope International University - Nebraska",,21,21,21,8,,,,,,,,,
"Providence Christian College - California",,25,25,9,,,,,,,26,,,
"Pomona College - California",,35,34,34,34,34,34,34,34,34,34,34,34,34
"Pittsburg State University - Kansas",,24,28,25,24,,24,24,24,24,24,24,23,24
"Pennsylvania State University-Main Campus - Pennsylvania",,30,30,30,29,29,29,29,29,29,29,28,28,28
"Pacific Lutheran University - Washington",,29,28,27,28,28,29,28,27,27,28,28,28,28
"Ozark Christian College - Missouri",,24,27,25,26,,,,,,,,,
"Otis College of Art and Design - California",,29,26,,,25,25,25,26,27,27,25,21,24
"Ohio Dominican University - Ohio",,25,24,24,24,24,24,24,25,24,23,23,23,24
"Westwood College-Dallas - Texas",,,,,,,,,,,,,,23
"Notre Dame of Maryland University - Maryland",,25,26,22,27,28,28,23,26,21,22,22,23,
"Notre Dame de Namur University - California",,20,21,22,22,21,21,22,22,23,21,22,23,24
"Notre Dame College - Ohio",,21,21,21,22,21,22,22,22,22,22,22,21,21
"Northern Michigan University - Michigan",,26,26,26,25,24,24,25,24,25,24,24,25,25
"Northern Illinois University - Illinois",,25,25,24,25,25,25,24,25,24,24,24,25,24
"Newman University - Kansas",,25,26,25,27,28,27,27,28,27,27,28,26,26
"New Mexico Military Institute - New Mexico",,22,23,23,23,24,23,23,23,23,23,23,23,26
"New England Institute of Technology - Rhode Island",,18,,,,,,,,,,,,
"Muskingum University - Ohio",,23,24,24,24,24,24,24,24,24,24,25,25,24
"Carrington College-Boise - Idaho",,,,,,,,,,,,,,
"Carrington College-Citrus Heights - California",,,,,,,,,,,,,,
"Carrington College-Las Vegas - Nevada",,,,,,,,,,,,,,
"Jersey College - New Jersey",,,,,,,,,,,,,,
"Jefferson Lewis BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Jefferson County Dubois Area Vocational Technical Practical Nursing Program - Pennsylvania",,,,,,,,,,,,,,
"Jefferson (Philadelphia University + Thomas Jefferson University) - Pennsylvania",,,,27,26,26,26,25,25,26,26,26,25,
"Jamestown Business College - New York",,,,,,,,,,,,,,
"IYRS School of Technology & Trades - Rhode Island",,,,,,,,,,,,,,
"Ithaca College - New York",,,,,,,,,28,28,28,28,28,28
"Isabella Graham Hart School of Practical Nursing - New York",,,,,,,,,,,,,,
"International Culinary Arts and Sciences Institute - Ohio",,,,,,,,,,,,,,
"International Business College-Indianapolis - Indiana",,,,,,,,,,,,,,
"International Business College-Fort Wayne - Indiana",,,,,,,,,,,,,,
"Institute of American Indian and Alaska Native Culture and Arts Development - New Mexico",,,,,,,,,,,,21,25,
"Illinois College - Illinois",,,,,,,,25,,,26,27,26,26
"Hussian College-Philadelphia - Pennsylvania",,,,,,,,,,,,,,
"Hussian College-Los Angeles - California",,,,,,,,,,,,,,
"Hult International Business School - Massachusetts",,,,,,,,,,,,,,
"Hood College - Maryland",,,,,,,,25,25,25,25,25,26,25
"JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools - New Jersey",,,,,,,,,,,,,,
"Hondros College of Nursing - Ohio",,,,,,,,,,,,,,
"JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging - New Jersey",,,,,,,,,,,,,,
"Joffrey Ballet School - New York",,,,,,,,,,,,,,
"King's College - Pennsylvania",,,,,,,,,,,,,,
"King's College - North Carolina",,,,,,,,,,,,,,
"Key College - Florida",,,,,,,,,,,,,,
"Keuka College - New York",,,,24,23,,,,,,,,,22
"Kenrick Glennon Seminary - Missouri",,,,,,,,,,,,,,
"Kendall College - Illinois",,,,,,,,,,,,,22,23
"KD Conservatory College of Film and Dramatic Arts - Texas",,,,,,,,,,,,,,
"Kansas State University - Kansas",,,,,,,,,,,,26,25,27
"Kansas City Art Institute - Missouri",,,,27,25,26,27,27,,26,,,26,25
"Juniata College - Pennsylvania",,,,,,,,,30,28,28,,,
"Johnson College - Pennsylvania",,,,,,,,26,,,,,,
"Johnson & Wales University-Providence - Rhode Island",,,,,,,,,,,,,,
"Johnson & Wales University-Online - Rhode Island",,,,,,,,,,,,,,
"Johnson & Wales University-North Miami - Florida",,,,,,,,,,,,,,
"Johnson & Wales University-Denver - Colorado",,,,,,,,,,,,,,
"Johnson & Wales University-Charlotte - North Carolina",,,,,,,,,,,,,,
"John Wesley University - North Carolina",,,,23,24,25,,,,,,,,
"Joe Kubert School of Cartoon and Graphic Art - New Jersey",,,,,,,,,,,,,,
"Kirksville Area Technical Center - Missouri",,,,,,,,,26,,,,,
"Holy Name Medical Center-Sister Claire Tynan School of Nursing - New Jersey",,,,,,,,,,,,,,
"Hillyard Technical Center - Missouri",,,,,,,,,,,,,,
"Harmony Health Care Institute - New Hampshire",,,,,,,,,,,,,,
"Hannah E Mullins School of Practical Nursing - Ohio",,,,,,,,,,,,,,
"Hampton University - Virginia",,,,24,24,24,22,23,23,26,,26,26,26
"Hampshire College - Massachusetts",,,,,,,,,,29,29,29,29,29
"Hallmark University - Texas",,,,,,,,,,,,,,
"Gustavus Adolphus College - Minnesota",,,,,,,,30,30,30,29,29,29,28
"Green Country Technology Center - Oklahoma",,,,,,,,,,,,,,
"Greater Lowell Technical School - Massachusetts",,,,,,,,,,,,,,
"Great Lakes Institute of Technology - Pennsylvania",,,,,,,,,,,,,,
"Grand River Technical School - Missouri",,,,,,,,,,,,,,
"Grand Canyon University - Arizona",,,,,,,,,,,,,,
"Graham Hospital School of Nursing - Illinois",,,,,,,20,,,,,,21,23
"Grace University - Nebraska",,,,21,25,24,27,24,26,26,25,26,25,26
"Grace Mission University - California",,,,,,,,,,,,,,
"Grace Christian University - Michigan",,,,,,,,,,,24,23,25,25
"Goldey-Beacom College - Delaware",,,,,,,,,,,,,,
"Golden Gate University - California",,,,,,,,,,,,,,
"Harrison College-Grove City - Ohio",,,,,,,,,,,,,,
"Hodges University - Florida",,,,,,,,,,,,,,
"Harrison College-Indianapolis - Indiana",,,,,,,,,,,,,,
"HCI College - Florida",,,,,,,,,,,,,,
"Hilbert College - New York",,,,,,,,,,,,,,23
"Hickey College - Missouri",,,,,,,,,,,,,,
"Herzing University-Toledo - Ohio",,,,,,,,,,,,,,
"Herzing University-Orlando - Florida",,,,,,,,,,,,,,
"Herzing University-New Orleans - Louisiana",,,,,,,,,,,,,,
"Herzing University-Minneapolis - Minnesota",,,,,,,,,,,,,,
"Herzing University-Madison - Wisconsin",,,,,,,,,,,,,,
"Herzing University-Kenosha - Wisconsin",,,,,,,,,,,,,,
"Herzing University-Brookfield - Wisconsin",,,,,,,,,,,,,,
"Herzing University-Birmingham - Alabama",,,,,,,,,,,,,,
"Herzing University-Atlanta - Georgia",,,,,,,,,,,,,,
"Herzing University-Akron - Ohio",,,,,,,,,,,,,,
"Heritage Valley Kennedy School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Henrico County-Saint Marys Hospital School of Practical Nursing - Virginia",,,,,,,,,,,,,,
"Hellenic College-Holy Cross Greek Orthodox School of Theology - Massachusetts",,,,23,,,,,,,,,,
"Healthcare Training Institute - New Jersey",,,,,,,,,,,,,,
"Health Works Institute - Montana",,,,,,,,,,,,,,
"Harrison College-Morrisville - North Carolina",,,,,,,,,,,,,,
"Goddard College - Vermont",,,,,,,,,,,,,,
"La Salle University - Pennsylvania",,,,,25,23,24,25,23,25,24,24,,24
"Laguna College of Art and Design - California",,,,,,,,,,,,,,
"Millersville University of Pennsylvania - Pennsylvania",,,,,25,24,23,24,24,24,,,,
"Mifflin County Academy of Science and Technology - Pennsylvania",,,,,,,,,,,,,,
"Midwives College of Utah - Utah",,,,,,,,,,,,,,
"Midwest Institute - Missouri",,,,,,,,,,,,,,
"Midstate College - Illinois",,,,,,,,,,,,,,
"MIAT College of Technology - Michigan",,,,,,,,,,,,,,
"Miami Regional University - Florida",,,,,,,,,,,,,,
"Miami Media School - Florida",,,,,,,,,,,,,,
"Metropolitan State University - Minnesota",,,,,,,,,,,,,,
"Metropolitan College of New York - New York",,,,,,,,,,,,,,
"Messenger College - Texas",,,,,,,,,,,,,,
"Mesivtha Tifereth Jerusalem of America - New York",,,,,,,,,,,,,,
"Mesivta Torah Vodaath Rabbinical Seminary - New York",,,,,,,,,,,,,,
"Mesivta of Eastern Parkway-Yeshiva Zichron Meilech - New York",,,,,,,,,,,,,,
"Merrimack College - Massachusetts",,,,,,,,,,,,,26,26
"Merkaz Bnos-Business School - New York",,,,,,,,,,,,,,
"Mercyhurst University - Pennsylvania",,,,,,,,26,26,26,25,25,25,24
"Milwaukee Career College - Wisconsin",,,,,,,,,,,,,,
"Mercy Hospital School of Practical Nursing-Plantation General Hospital - Florida",,,,,,,,,,,,,,
"Milwaukee Institute of Art & Design - Wisconsin",,,,,,,,,,,,,,
"Minerva University - California",,,,,,,,,,,,,,
"MTI College - California",,,,,,,,,,,,,,
"Mt Sierra College - California",,,,,,,,,,,,,,
"Mount Ida College - Massachusetts",,,,,,22,21,20,22,19,20,21,,
"Mount Angel Seminary - Oregon",,,,,,,,,,,,,,
"MotoRing Technical Training Institute - Rhode Island",,,,,,,,,,,,,,
"Motoring Technical Training Institute - Massachusetts",,,,,,,,,,,,,,
"Morthland College - Illinois",,,,34,23,22,,,,,,,,
"Morris County Vocational School District - New Jersey",,,,,,,,,,,,,,
"Moore Norman Technology Center - Oklahoma",,,,,,,,,,,,,,
"Monty Tech - Massachusetts",,,,,,,,,,,,,,
"Montessori Education Center of the Rockies - Colorado",,,,,,,,,,,,,,
"Montclair State University - New Jersey",,,,,,,,,,,,,,
"Montana State University-Northern - Montana",,,,,22,21,22,22,21,22,22,22,21,23
"Monroe College - New York",,,,,,,,,,,,,,
"Monongalia County Technical Education Center - West Virginia",,,,,,,,,,,,,,
"Mitchell College - Connecticut",,,,,,,,,,,,,,
"Mirrer Yeshiva Cent Institute - New York",,,,,,,,,,,,,,
"Mineral County Vocational Technical Center - West Virginia",,,,,,,,,,,,,,
"Laboure College - Massachusetts",,,,,,,,,,,,,,
"Memphis College of Art - Tennessee",,,,26,22,,25,25,25,24,25,25,25,24
"Med-Life Institute-Lauderdale Lakes - Florida",,,,,,,,,,,,,,
"Lytles Redwood Empire Beauty College - California",,,,,,,,,,,,,,
"Lyndon State College - Vermont",,,,22,23,20,22,21,22,22,20,21,,
"Lutheran School of Nursing - Missouri",,,,,23,,,,22,22,21,21,21,
"Luther Rice College & Seminary - Georgia",,,,,,,,,,,,,,
"Loyola University Maryland - Maryland",,,,,,,,29,29,28,28,28,29,30
"Louisiana Culinary Institute - Louisiana",,,,,,,,,,,,,,
"Longy School of Music of Bard College - Massachusetts",,,,,,,,,,,,,,
"Long Island Business Institute - New York",,,,,,,,,,,,,,
"Living Arts College - North Carolina",,,,,,,,,,,,,,
"LIU Brooklyn - New York",,,,27,,,,22,21,23,23,,,
"Lex La-Ray Technical Center - Missouri",,,,,,,,,,,,,,
"Laurel Technical Institute - Pennsylvania",,,,,,,,,,,,,,
"Laurel Technical Institute - Pennsylvania",,,,,,,,,,,,,,
"Laurel Business Institute - Pennsylvania",,,,,,,,,,,,,,
"Lane College - Tennessee",,,,17,16,17,17,16,17,17,19,19,17,18
"Landmark College - Vermont",,,,,,,,,24,,,,,
"Lake Forest College - Illinois",,,,,,,,28,,,,,29,28
"Machzikei Hadath Rabbinical College - New York",,,,,,,,,,,,,,
"Medical Career & Technical College - Kentucky",,,,,,,,,,,,,,
"Madison Oneida BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Maharishi International University - Iowa",,,,,,,,,,,,,,
"Med-Life Institute-Kissimmee - Florida",,,,,,,,,,,,,,
"Mechon L'hoyroa - New York",,,,,,,,,,,,,,
"MDT College of Health Sciences - Illinois",,,,,,,,,,,,,,
"Mauna Loa Helicopters - Hawaii",,,,,,,,,,,,,,
"Massachusetts College of Art and Design - Massachusetts",,,,,26,26,27,27,25,25,25,27,,
"Marygrove College - Michigan",,,,21,20,18,19,18,20,19,19,19,19,19
"Martinsburg College - West Virginia",,,,,,,,,,,,,,
"Marlboro College - Vermont",,,,,,,,,,,,,30,30
"Marist College - New York",,,,,,,,,,,28,27,27,26
"Marion S Whelan School of Nursing of Geneva General Hospital - New York",,,,,,,,,,,,,,
"Maria College of Albany - New York",,,,,,,,22,,,25,,,18
"Manna University - North Carolina",,,,,,,,,,,,,,
"Manhattanville College - New York",,,,,,,,,24,,26,24,24,25
"Manhattan School of Music - New York",,,,,,,,,,,,,,
"Manchester University - Indiana",,,,,30,26,24,25,25,25,25,25,24,22
"Maine College of Health Professions - Maine",,,,,,,,,,,,,,
"Maine College of Art & Design - Maine",,,,,,,,,,,28,28,23,20
"Magdalen College - New Hampshire",,,,,,,,,,,,,,28
"Gnomon - California",,,,,,,,,,,,,,
"Gettysburg College - Pennsylvania",,,,,,,,29,30,29,30,30,,30
"Georgia State University-Perimeter College - Georgia",,,,,,,,,,,,,,
"College of the Atlantic - Maine",,,,,,,,,,,,,,
"College of St Joseph - Vermont",,,,22,,,,18,22,21,21,20,23,21
"College of Saint Mary - Nebraska",,,,,,,,26,24,24,23,23,24,24
"College of Micronesia-FSM - Federated States Of Micronesia",,,,,,,,,,,,,,
"Colby-Sawyer College - New Hampshire",,,,,,,,,,,,,21,21
"Clinton Technical School - Missouri",,,,,,,,,,,,,,
"Clinton Essex Warren Washington BOCES - New York",,,,,,,,,,,,,,
"Cleveland University-Kansas City - Kansas",,,,,,21,24,,,23,,,,
"Cleveland Institute of Music - Ohio",,,,,,,,,,,,,,
"Clayton  State University - Georgia",,,,,,,21,21,20,21,22,,21,21
"Clarks Summit University - Pennsylvania",,,,,,,26,24,23,25,25,23,24,23
"Clarion County Career Center Practical Nursing Program - Pennsylvania",,,,,,,,,,,,,,
"Citizens School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Circle in the Square Theatre School - New York",,,,,,,,,,,,,,
"Christian Culinary Academy - Oregon",,,,,,,,,,,,,,
"Chicago School of Professional Psychology-College of Nursing - Texas",,,,,,,,,,,,,,
"Chester County Intermediate Unit - Pennsylvania",,,,,,,,,,,,,,
"Colorado Academy of Veterinary Technology - Colorado",,,,,,,,,,,,,,
"Chatham University - Pennsylvania",,,,,,,,,,,,,,
"Colorado College - Colorado",,,,,,,,32,32,,31,32,31,31
"Columbia College Chicago - Illinois",,,,,,,,,,,,,,
"Concorde Career Institute-Orlando - Florida",,,,,,,,,,,,,,
"Concorde Career Institute-Miramar - Florida",,,,,,,,,,,,,,
"Concorde Career Institute-Jacksonville - Florida",,,,,,,,,,,,,,
"Concorde Career College-Southaven - Mississippi",,,,,,,,,,,,,,
"Concorde Career College-San Diego - California",,,,,,,,,,,,,,
"Concorde Career College-San Bernardino - California",,,,,,,,,,,,,,
"Concorde Career College-San Antonio - Texas",,,,,,,,,,,,,,
"Concorde Career College-Portland - Oregon",,,,,,,,,,,,,,
"Concorde Career College-North Hollywood - California",,,,,,,,,,,,,,
"Concorde Career College-Memphis - Tennessee",,,,,,,,,,,,,,
"Concorde Career College-Kansas City - Missouri",,,,,,,,,,,,,,
"Concorde Career College-Grand Prairie - Texas",,,,,,,,,,,,,,
"Concorde Career College-Garden Grove - California",,,,,,,,,,,,,,
"Concorde Career College-Dallas - Texas",,,,,,,,,,,,,,
"Concorde Career College-Aurora - Colorado",,,,,,,,,,,,,,
"Compass College of Film and Media - Michigan",,,,24,,,,,22,,,,,
"Columbia College Hollywood - California",,,,,,,,,,,,,,
"Columbia Area Career Center - Missouri",,,,,,,,,,,,,,
"Concorde Career Institute-Tampa - Florida",,,,,,,,,,,,,,
"Chamberlain University-Virginia - Virginia",,,,,,,,,,,,,,
"Chamberlain University-Ohio - Ohio",,,,,,,,,,,,,,
"Cass Career Center - Missouri",,,,,,,,,,,,,,
"Casal Institute of Nevada - Nevada",,,,,,,,,,,,,,
"Casa Loma College-Van Nuys - California",,,,,,,,,,,,,,
"Carrington College-Tucson - Arizona",,,,,,,,,,,,,,
"Carrington College-Stockton - California",,,,,,,,,,,,,,
"Carrington College-Spokane - Washington",,,,,,,,,,,,,,
"Carrington College-San Leandro Campus - California",,,,,,,,,,,,,,
"Carrington College-San Jose - California",,,,,,,,,,,,,,
"Carrington College-Sacramento - California",,,,,,,,,,,,,,
"Carrington College-Reno - Nevada",,,,,,,,,,,,,,
"Carrington College-Portland - Oregon",,,,,,,,,,,,,,
"Carrington College-Pleasant Hill Campus - California",,,,,,,,,,,,,,
"Carrington College-Phoenix North - Arizona",,,,,,,,,,,,,,
"Carrington College-Phoenix East - Arizona",,,,,,,,,,,,,,
"Carrington College-Ontario - California",,,,,,,,,,,,,,
"Carrington College-Mesquite - Texas",,,,,,,,,,,,,,
"Carrington College-Mesa - Arizona",,,,,,,,,,,,,,
"Cayuga Onondaga BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Chamberlain University-Texas - Texas",,,,,,,,,,,,,,
"Center for Instruction - Technology & Innovation - New York",,,,,,,,,,,,,,
"Central Christian College of Kansas - Kansas",,,,22,22,,24,24,,,24,24,23,25
"Chamberlain University-North Carolina - North Carolina",,,,,,,,,,,,,,
"Chamberlain University-New Jersey - New Jersey",,,,,,,,,,,,,,
"Chamberlain University-Nevada - Nevada",,,,,,,,,,,,,,
"Chamberlain University-Missouri - Missouri",,,,,,,,,,,,,,
"Chamberlain University-Michigan - Michigan",,,,,,,,,,,,,,
"Chamberlain University-Indiana - Indiana",,,,,,,,,,,,,,
"Chamberlain University-Illinois - Illinois",,,,,,,,,,,,,,
"Chamberlain University-Georgia - Georgia",,,,,,,,,,,,,,
"Chamberlain University-Florida - Florida",,,,,,,,,,,,,,
"Chamberlain University-California - California",,,,,,,,,,,,,,
"Chamberlain University-Arizona - Arizona",,,,,,,,,,,,,,
"Central Yeshiva Tomchei Tmimim Lubavitz - New York",,,,,,,,,,,,,,
"Central Yeshiva Beth Joseph - New York",,,,,,,,,,,,,,
"Central Susquehanna Intermediate Unit LPN Career - Pennsylvania",,,,,,,,,,,,,,
"Central Penn College - Pennsylvania",,,,,17,,,,,,,,,
"Central Methodist University-College of Graduate and Extended Studies - Missouri",,,,,,,,,,,,,,
"Central Christian College of the Bible - Missouri",,,,21,25,26,,,,,21,23,,
"Center for Natural Wellness School of Massage Therapy - New York",,,,,,,,,,,,,,
"Concordia University-Saint Paul - Minnesota",,,,,,,,24,,,24,25,24,24
"Cornish College of the Arts - Washington",,,,,,,,,,,,,,
"Cox College - Missouri",,,,,,,,22,,,,25,,
"Fairleigh Dickinson University-Florham Campus - New Jersey",,,,26,25,25,26,,,,,,,
"Fairfax University of America - Virginia",,,,,,,,,,,,,,
"Everglades University - Florida",,,,,,,,,,,,,,
"Evangel University - Missouri",,,,25,26,26,26,26,25,26,25,26,25,25
"Estelle Medical Academy - Illinois",,,,,,,,,,,,,,
"Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"Erie 1 BOCES - New York",,,,,,,,,,,,,,
"Endicott College - Massachusetts",,,,,,,,25,25,27,25,24,24,24
"Embry-Riddle Aeronautical University-Worldwide - Florida",,,,,,,,,,,,,,
"Elizabethtown College School of Continuing and Professional Studies - Pennsylvania",,,,,,,,,,,,,,
"Elim Bible Institute and College - New York",,,,,,,,,,,,,,
"ECPI University - Virginia",,,,,,,,,,,,,,
"Ecclesia College - Arkansas",,,,,9,22,,,,,,,,
"Eastwick College-Ramsey - New Jersey",,,,,,,,,,,,,,
"Eastwick College-Nutley - New Jersey",,,,,,,,,,,,,,
"Eastwick College-Hackensack - New Jersey",,,,,,,,,,,,,,
"Eastern Suffolk BOCES - New York",,,,,,,,,,,,,,
"Fairleigh Dickinson University-Metropolitan Campus - New Jersey",,,,25,22,23,25,,,,,,,
"Eastern Connecticut State University - Connecticut",,,,,,,,24,24,23,,,,
"Faith Theological Seminary - Maryland",,,,,,,,,,,,,,
"Fashion Institute of Technology - New York",,,,,,,,,,,,,,
"Gemini School of Visual Arts & Communication - Texas",,,,,,,,,,,,,,
"Geisinger-Lewistown Hospital School of Nursing - Pennsylvania",,,,,,,,,,,,,,
"Galaxy Medical College - California",,,,,,,,,,,,,,
"Franklin and Marshall College - Pennsylvania",,,,,,,,,,,,,,
"Fox College - Illinois",,,,,,,,,,,,,,
"Fosbre Academy of Hair Design - Washington",,,,,,,,,,,,,,
"Fort Hays State University - Kansas",,,,,,,,24,24,25,24,,24,24
"Florida Memorial University - Florida",,,,,,,,,,,,,,
"Florida International Training Institute - Florida",,,,,,,,,,,,,,
"Flint Institute of Barbering Inc - Michigan",,,,,,,,,,,,,,
"Flashpoint Chicago A Campus of Columbia College Hollywood - Illinois",,,,,,,,,,,,,,
"Five Towns College - New York",,,,,,,,23,20,21,22,,,
"Finger Lakes Health College of Nursing & Health Sciences - New York",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-San Francisco - California",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-San Diego - California",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-Orange County - California",,,,,,,,,,,,,,
"FIDM-Fashion Institute of Design & Merchandising-Los Angeles - California",,,,,,,,,,,,,,
"Family of Faith Christian University - Oklahoma",,,,,,,,,,,,,,
"Eastern Center for Arts and Technology - Pennsylvania",,,,,,,,,,,,,,
"East-West University - Illinois",,,,19,,,,,,,,,,
"Dutchess BOCES-Practical Nursing Program - New York",,,,,,,,,,,,,,
"DeVry University-Florida - Florida",,,,,,,,,,,,,,
"DeVry University-Colorado - Colorado",,,,,,,,,,,,,,
"DeVry University-California - California",,,,,,,,,,,,,,
"DeVry University-Arizona - Arizona",,,,,,,,,,,,,,
"DeVry College of New York - New York",,,,,,,,,,,,,,
"Design Institute of San Diego - California",,,,,,,,,,,,,,
"DePaul University - Illinois",,,,,,,,28,27,28,27,,26,27
"Delaware County Technical School-Practical Nursing Program - Pennsylvania",,,,,,,,,,,,,,
"Delaware College of Art and Design - Delaware",,,,,,,,,,,,,,
"Davis College - New York",,,,,,,24,18,24,26,,,,
"Davenport University - Michigan",,,,,,,,,,,,,,
"Daemen University - New York",,,,,,,,,,,25,25,25,23
"Curtis Institute of Music - Pennsylvania",,,,,,,,,,,,,,
"CUNY York College - New York",,,,,,,,,,,,,,
"CUNY New York City College of Technology - New York",,,,,,,,,,,,,,
"CUNY Lehman College - New York",,,,,,,,,,,,,,
"Culinary Institute of America - New York",,,,,,,,,,,,,,
"DeVry University-Georgia - Georgia",,,,,,,,,,,,,,
"DeVry University-Illinois - Illinois",,,,,,,,,,,,,,
"DeVry University-Indiana - Indiana",,,,,,,,,,,,,,
"DeVry University-Missouri - Missouri",,,,,,,,,,,,,,
"Dunwoody College of Technology - Minnesota",,,,,,,,,,,,,,
"Drew University - New Jersey",,,,,,,28,27,28,28,27,,25,28
"Dr. Ida Rolf Institute - Colorado",,,,,,,,,,,,,,
"Doane University - Nebraska",,,,25,26,26,25,26,26,26,26,26,26,23
"DLP Conemaugh Memorial Medical Center - Pennsylvania",,,,,,,,,,,,18,15,15
"Divine Word College - Iowa",,,,,,,,,,,,,,
"Diman Regional Technical Institute - Massachusetts",,,,,,,,,,,,,,
"Digital Media Institute at InterTech - Louisiana",,,,,,,,,,,,,,
"Musicians Institute - California",,,,,,,,,,28,22,,,
"Dickinson College - Pennsylvania",,,,,,,,31,30,30,30,31,30,30
"DeVry University-Texas - Texas",,,,,,,,,,,,,,
"DeVry University-Tennessee - Tennessee",,,,,,,,,,,,,,
"DeVry University-Pennsylvania - Pennsylvania",,,,,,,,,,,,,,
"DeVry University-Oklahoma - Oklahoma",,,,,,,,,,,,,,
"DeVry University-Ohio - Ohio",,,,,,,,,,,,,,
"DeVry University-North Carolina - North Carolina",,,,,,,,,,,,,,
"DeVry University-New Jersey - New Jersey",,,,,,,,,,,,,,
"DeVry University-Nevada - Nevada",,,,,,,,,,,,,,
"DeVry University-Virginia - Virginia",,,,,,,,,,,,,,
"Westwood College-Denver North - Colorado",,,,,,,,,,,,,,24



"Publisher:", "National Center for Education Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
